feature,missing_count,missing_percentage
det_LT_TKEO_std_6_coef,534,70.635
det_entropy_log_8_coef,2,0.265
std_9th_delta_delta,2,0.265
std_12th_delta,2,0.265
std_delta_delta_log_energy,2,0.265
std_delta_delta_0th,2,0.265
std_1st_delta_delta,2,0.265
std_2nd_delta_delta,2,0.265
std_3rd_delta_delta,2,0.265
std_4th_delta_delta,2,0.265
std_6th_delta_delta,2,0.265
std_7th_delta_delta,2,0.265
std_8th_delta_delta,2,0.265
std_10th_delta_delta,2,0.265
std_10th_delta,2,0.265
std_11th_delta_delta,2,0.265
std_12th_delta_delta,2,0.265
Ea,2,0.265
Ed_1_coef,2,0.265
Ed_2_coef,2,0.265
Ed_3_coef,2,0.265
Ed_4_coef,2,0.265
Ed_5_coef,2,0.265
Ed_6_coef,2,0.265
std_11th_delta,2,0.265
std_9th_delta,2,0.265
Ed_8_coef,2,0.265
std_MFCC_11th_coef,2,0.265
std_MFCC_2nd_coef,2,0.265
std_MFCC_3rd_coef,2,0.265
std_MFCC_4th_coef,2,0.265
std_MFCC_5th_coef,2,0.265
std_MFCC_6th_coef,2,0.265
std_MFCC_7th_coef,2,0.265
std_MFCC_8th_coef,2,0.265
std_MFCC_9th_coef,2,0.265
std_MFCC_10th_coef,2,0.265
std_MFCC_12th_coef,2,0.265
std_8th_delta,2,0.265
std_delta_log_energy,2,0.265
std_0th_delta,2,0.265
std_1st_delta,2,0.265
std_2nd_delta,2,0.265
std_3rd_delta,2,0.265
std_4th_delta,2,0.265
std_5th_delta,2,0.265
std_6th_delta,2,0.265
std_7th_delta,2,0.265
Ed_7_coef,2,0.265
Ed_9_coef,2,0.265
std_MFCC_0th_coef,2,0.265
Ed_10_coef,2,0.265
det_TKEO_mean_6_coef,2,0.265
det_TKEO_mean_7_coef,2,0.265
det_TKEO_mean_8_coef,2,0.265
det_TKEO_mean_9_coef,2,0.265
det_TKEO_mean_10_coef,2,0.265
det_TKEO_std_1_coef,2,0.265
det_TKEO_std_2_coef,2,0.265
det_TKEO_std_3_coef,2,0.265
det_TKEO_std_4_coef,2,0.265
det_TKEO_std_5_coef,2,0.265
det_TKEO_std_6_coef,2,0.265
det_TKEO_std_7_coef,2,0.265
det_TKEO_std_8_coef,2,0.265
det_TKEO_std_9_coef,2,0.265
det_TKEO_std_10_coef,2,0.265
app_entropy_shannon_1_coef,2,0.265
app_entropy_shannon_2_coef,2,0.265
app_entropy_shannon_3_coef,2,0.265
app_entropy_shannon_4_coef,2,0.265
app_entropy_shannon_5_coef,2,0.265
app_entropy_shannon_6_coef,2,0.265
det_TKEO_mean_5_coef,2,0.265
det_TKEO_mean_4_coef,2,0.265
det_TKEO_mean_3_coef,2,0.265
det_entropy_shannon_10_coef,2,0.265
det_entropy_shannon_1_coef,2,0.265
det_entropy_shannon_2_coef,2,0.265
det_entropy_shannon_3_coef,2,0.265
det_entropy_shannon_4_coef,2,0.265
det_entropy_shannon_5_coef,2,0.265
det_entropy_shannon_6_coef,2,0.265
det_entropy_shannon_7_coef,2,0.265
det_entropy_shannon_8_coef,2,0.265
det_entropy_shannon_9_coef,2,0.265
det_entropy_log_1_coef,2,0.265
det_TKEO_mean_2_coef,2,0.265
det_entropy_log_2_coef,2,0.265
det_entropy_log_3_coef,2,0.265
det_entropy_log_4_coef,2,0.265
det_entropy_log_5_coef,2,0.265
det_entropy_log_6_coef,2,0.265
det_entropy_log_7_coef,2,0.265
det_entropy_log_9_coef,2,0.265
det_entropy_log_10_coef,2,0.265
det_TKEO_mean_1_coef,2,0.265
std_MFCC_1st_coef,2,0.265
std_5th_delta_delta,2,0.265
std_Log_energy,2,0.265
mean_MFCC_10th_coef,2,0.265
mean_MFCC_8th_coef,2,0.265
mean_MFCC_7th_coef,2,0.265
mean_MFCC_6th_coef,2,0.265
mean_MFCC_5th_coef,2,0.265
mean_MFCC_3rd_coef,2,0.265
mean_MFCC_2nd_coef,2,0.265
mean_MFCC_1st_coef,2,0.265
mean_MFCC_0th_coef,2,0.265
mean_Log_energy,2,0.265
IMF_NSR_entropy,2,0.265
IMF_NSR_TKEO,2,0.265
IMF_NSR_SEO,2,0.265
IMF_SNR_entropy,2,0.265
IMF_SNR_TKEO,2,0.265
IMF_SNR_SEO,2,0.265
VFER_NSR_SEO,2,0.265
VFER_NSR_TKEO,2,0.265
VFER_SNR_SEO,2,0.265
VFER_SNR_TKEO,2,0.265
VFER_entropy,2,0.265
VFER_std,2,0.265
VFER_mean,2,0.265
locAbsJitter,2,0.265
ppq5Jitter,2,0.265
locDbShimmer,2,0.265
mean_12th_delta_delta,2,0.265
