feature,median_value_used_for_imputation
gender,1.0
PPE,0.809655
DFA,0.7005250000000001
RPDE,0.48461
numPulses,317.0
numPeriodsPulses,316.0
meanPeriodPulses,0.006057188
stdDevPeriodPulses,7.68e-05
locPctJitter,0.0015
locAbsJitter,9.594999999999999e-06
rapJitter,0.00028
ppq5Jitter,0.00065
ddpJitter,0.00084
locShimmer,0.05574
locDbShimmer,0.5025
apq3Shimmer,0.02798
apq5Shimmer,0.03375
apq11Shimmer,0.04764
ddaShimmer,0.08395
meanAutoCorrHarmonicity,0.984322
meanNoiseToHarmHarmonicity,0.016272500000000002
meanHarmToNoiseHarmonicity,19.309
minIntensity,74.10292647
maxIntensity,78.581351285
meanIntensity,76.84241642
f1,640.9183482
f2,1215.346469
f3,2613.357139
f4,3546.49467
b1,142.0408189
b2,159.7174488
b3,265.7138417
b4,307.6679696
GQ_prc5_95,1.0
GQ_std_cycle_open,18.8193
GQ_std_cycle_closed,0.381
GNE_mean,1.016
GNE_std,0.1838
GNE_SNR_TKEO,0.13784
GNE_SNR_SEO,1585789.618
GNE_NSR_TKEO,1.6363
GNE_NSR_SEO,3.0255
VFER_mean,0.00100795
VFER_std,0.0007402649999999999
VFER_entropy,2.2066
VFER_SNR_TKEO,61.1211
VFER_SNR_SEO,163.10694999999998
VFER_NSR_TKEO,1.2282
VFER_NSR_SEO,1.26145
IMF_SNR_SEO,16.7611
IMF_SNR_TKEO,1.509
IMF_SNR_entropy,9.301300000000001
IMF_NSR_SEO,0.201125
IMF_NSR_TKEO,9.0066
IMF_NSR_entropy,0.17757499999999998
mean_Log_energy,9.912749999999999
mean_MFCC_0th_coef,15.082049999999999
mean_MFCC_1st_coef,6.37965
mean_MFCC_2nd_coef,1.37175
mean_MFCC_3rd_coef,0.163815
mean_MFCC_4th_coef,-1.41645
mean_MFCC_5th_coef,-0.850205
mean_MFCC_6th_coef,-1.17285
mean_MFCC_7th_coef,0.114595
mean_MFCC_8th_coef,0.40066999999999997
mean_MFCC_9th_coef,0.092834
mean_MFCC_10th_coef,-0.72386
mean_MFCC_11th_coef,-0.359595
mean_MFCC_12th_coef,-0.11702499999999999
mean_delta_log_energy,-0.0009989
