model_name,model_family,feature_mode,actual_label,predicted_label,count
SVM,classical,direct_top10,0,0,92
SVM,classical,direct_top10,0,1,100
SVM,classical,direct_top10,1,0,25
SVM,classical,direct_top10,1,1,539
QSVM,quantum,direct_top10,0,0,0
QSVM,quantum,direct_top10,0,1,192
QSVM,quantum,direct_top10,1,0,0
QSVM,quantum,direct_top10,1,1,564
VQC,quantum,direct_top10,0,0,96
VQC,quantum,direct_top10,0,1,96
VQC,quantum,direct_top10,1,0,265
VQC,quantum,direct_top10,1,1,299
XGBoost,classical,direct_top10,0,0,120
XGBoost,classical,direct_top10,0,1,72
XGBoost,classical,direct_top10,1,0,28
XGBoost,classical,direct_top10,1,1,536
LogisticRegression,classical,direct_top10,0,0,91
LogisticRegression,classical,direct_top10,0,1,101
LogisticRegression,classical,direct_top10,1,0,36
LogisticRegression,classical,direct_top10,1,1,528
