model_name,model_family,feature_mode,fold,selected_feature_count,accuracy,recall,f1,roc_auc,fit_sample_count,fit_strategy
SVM,classical,direct_top10,1,10,0.8947368421052632,0.9649122807017544,0.9322033898305084,0.9602954755309325,680,full_dataset
SVM,classical,direct_top10,2,10,0.7763157894736842,0.9298245614035088,0.8617886178861789,0.7673130193905817,680,full_dataset
SVM,classical,direct_top10,3,10,0.8421052631578947,0.9824561403508771,0.9032258064516129,0.8310249307479225,680,full_dataset
SVM,classical,direct_top10,4,10,0.881578947368421,0.9824561403508771,0.9256198347107438,0.8771929824561404,680,full_dataset
SVM,classical,direct_top10,5,10,0.881578947368421,1.0,0.9256198347107438,0.9437500000000001,680,full_dataset
SVM,classical,direct_top10,6,10,0.8421052631578947,0.9642857142857143,0.9,0.8464285714285714,680,full_dataset
SVM,classical,direct_top10,7,10,0.8266666666666667,0.9464285714285714,0.8907563025210085,0.8458646616541353,681,full_dataset
SVM,classical,direct_top10,8,10,0.8266666666666667,0.9642857142857143,0.8925619834710744,0.8261278195488723,681,full_dataset
SVM,classical,direct_top10,9,10,0.7733333333333333,0.875,0.8521739130434782,0.781015037593985,681,full_dataset
SVM,classical,direct_top10,10,10,0.8,0.9464285714285714,0.8760330578512396,0.8336466165413534,681,full_dataset
QSVM,quantum,direct_top10,1,10,0.75,1.0,0.8571428571428571,0.3231763619575254,32,stratified_subsample
QSVM,quantum,direct_top10,2,10,0.75,1.0,0.8571428571428571,0.41920590951061865,32,stratified_subsample
QSVM,quantum,direct_top10,3,10,0.75,1.0,0.8571428571428571,0.37119113573407203,32,stratified_subsample
QSVM,quantum,direct_top10,4,10,0.75,1.0,0.8571428571428571,0.1772853185595568,32,stratified_subsample
QSVM,quantum,direct_top10,5,10,0.7368421052631579,1.0,0.8484848484848485,0.3053571428571429,32,stratified_subsample
QSVM,quantum,direct_top10,6,10,0.7368421052631579,1.0,0.8484848484848485,0.3928571428571429,32,stratified_subsample
QSVM,quantum,direct_top10,7,10,0.7466666666666667,1.0,0.8549618320610687,0.3731203007518797,32,stratified_subsample
QSVM,quantum,direct_top10,8,10,0.7466666666666667,1.0,0.8549618320610687,0.2659774436090226,32,stratified_subsample
QSVM,quantum,direct_top10,9,10,0.7466666666666667,1.0,0.8549618320610687,0.4172932330827068,32,stratified_subsample
QSVM,quantum,direct_top10,10,10,0.7466666666666667,1.0,0.8549618320610687,0.27255639097744366,32,stratified_subsample
VQC,quantum,direct_top10,1,10,0.5657894736842105,0.5789473684210527,0.6666666666666666,0.5355493998153278,32,stratified_subsample
VQC,quantum,direct_top10,2,10,0.4868421052631579,0.49122807017543857,0.5894736842105263,0.5521698984302862,32,stratified_subsample
VQC,quantum,direct_top10,3,10,0.4342105263157895,0.43859649122807015,0.5376344086021505,0.40627885503231764,32,stratified_subsample
VQC,quantum,direct_top10,4,10,0.5526315789473685,0.543859649122807,0.6458333333333334,0.6131117266851339,32,stratified_subsample
VQC,quantum,direct_top10,5,10,0.5263157894736842,0.5178571428571429,0.6170212765957447,0.5388392857142857,32,stratified_subsample
VQC,quantum,direct_top10,6,10,0.5,0.5,0.5957446808510638,0.4535714285714286,32,stratified_subsample
VQC,quantum,direct_top10,7,10,0.49333333333333335,0.44642857142857145,0.5681818181818182,0.3848684210526316,32,stratified_subsample
VQC,quantum,direct_top10,8,10,0.6266666666666667,0.6607142857142857,0.7254901960784313,0.47509398496240607,32,stratified_subsample
VQC,quantum,direct_top10,9,10,0.52,0.5714285714285714,0.64,0.4459586466165414,32,stratified_subsample
VQC,quantum,direct_top10,10,10,0.52,0.5535714285714286,0.6326530612244898,0.5042293233082706,32,stratified_subsample
XGBoost,classical,direct_top10,1,10,0.9078947368421053,0.9298245614035088,0.9380530973451328,0.961218836565097,680,full_dataset
XGBoost,classical,direct_top10,2,10,0.8026315789473685,0.9298245614035088,0.8760330578512396,0.8088642659279779,680,full_dataset
XGBoost,classical,direct_top10,3,10,0.8552631578947368,0.9649122807017544,0.9090909090909091,0.827331486611265,680,full_dataset
XGBoost,classical,direct_top10,4,10,0.9210526315789473,0.9824561403508771,0.9491525423728814,0.9556786703601108,680,full_dataset
XGBoost,classical,direct_top10,5,10,0.9342105263157895,1.0,0.9572649572649573,0.9491071428571428,680,full_dataset
XGBoost,classical,direct_top10,6,10,0.8421052631578947,0.9642857142857143,0.9,0.8883928571428571,680,full_dataset
XGBoost,classical,direct_top10,7,10,0.8933333333333333,0.9464285714285714,0.9298245614035088,0.9031954887218046,681,full_dataset
XGBoost,classical,direct_top10,8,10,0.88,0.9821428571428571,0.9243697478991597,0.8571428571428572,681,full_dataset
XGBoost,classical,direct_top10,9,10,0.7866666666666666,0.8571428571428571,0.8571428571428571,0.8599624060150376,681,full_dataset
XGBoost,classical,direct_top10,10,10,0.8533333333333334,0.9464285714285714,0.905982905982906,0.918233082706767,681,full_dataset
LogisticRegression,classical,direct_top10,1,10,0.881578947368421,0.9473684210526315,0.9230769230769231,0.9307479224376731,680,full_dataset
LogisticRegression,classical,direct_top10,2,10,0.7763157894736842,0.9298245614035088,0.8617886178861789,0.7386888273314866,680,full_dataset
LogisticRegression,classical,direct_top10,3,10,0.8552631578947368,0.9824561403508771,0.9105691056910569,0.8070175438596491,680,full_dataset
LogisticRegression,classical,direct_top10,4,10,0.8026315789473685,0.9298245614035088,0.8760330578512396,0.8993536472760849,680,full_dataset
LogisticRegression,classical,direct_top10,5,10,0.881578947368421,0.9642857142857143,0.9230769230769231,0.89375,680,full_dataset
LogisticRegression,classical,direct_top10,6,10,0.7894736842105263,0.9285714285714286,0.8666666666666667,0.8348214285714286,680,full_dataset
LogisticRegression,classical,direct_top10,7,10,0.84,0.9285714285714286,0.896551724137931,0.8533834586466166,681,full_dataset
LogisticRegression,classical,direct_top10,8,10,0.8133333333333334,0.9464285714285714,0.8833333333333333,0.799812030075188,681,full_dataset
LogisticRegression,classical,direct_top10,9,10,0.76,0.8571428571428571,0.8421052631578947,0.7725563909774437,681,full_dataset
LogisticRegression,classical,direct_top10,10,10,0.7866666666666666,0.9464285714285714,0.8688524590163934,0.731203007518797,681,full_dataset
