fold,rank,feature,mutual_info_score
1,1,std_delta_delta_log_energy,0.10531062891716858
1,2,mean_MFCC_2nd_coef,0.0985721723926134
1,3,tqwt_energy_dec_27,0.0985526025693435
1,4,tqwt_stdValue_dec_15,0.09509368401659679
1,5,tqwt_TKEO_mean_dec_16,0.09409247206102145
1,6,tqwt_entropy_log_dec_35,0.09248602829807928
1,7,std_8th_delta_delta,0.09149498400018641
1,8,tqwt_entropy_log_dec_11,0.0910860437084795
1,9,tqwt_maxValue_dec_12,0.0906179873220101
1,10,std_delta_log_energy,0.08967156848307534
2,1,std_delta_delta_log_energy,0.11422423096850975
2,2,minIntensity,0.1131172299664358
2,3,tqwt_entropy_shannon_dec_14,0.111469525260113
2,4,tqwt_entropy_log_dec_35,0.10506845746841509
2,5,tqwt_maxValue_dec_12,0.10495361841701012
2,6,tqwt_entropy_log_dec_16,0.1043291762470342
2,7,tqwt_entropy_shannon_dec_35,0.1033899326866694
2,8,tqwt_stdValue_dec_15,0.102865828425585
2,9,tqwt_TKEO_std_dec_13,0.10126767059517539
2,10,tqwt_stdValue_dec_12,0.10025107128007016
3,1,std_delta_delta_log_energy,0.12280960829102572
3,2,tqwt_entropy_log_dec_35,0.1189803530879916
3,3,tqwt_stdValue_dec_12,0.10767824399318626
3,4,tqwt_TKEO_mean_dec_12,0.10400497491598726
3,5,app_entropy_shannon_5_coef,0.10205322684426887
3,6,mean_MFCC_2nd_coef,0.09690036504675303
3,7,tqwt_stdValue_dec_15,0.09481334168721478
3,8,tqwt_entropy_log_dec_11,0.09451167127819993
3,9,tqwt_entropy_log_dec_12,0.09359597782909002
3,10,tqwt_maxValue_dec_12,0.09351564477818708
4,1,std_8th_delta_delta,0.11237298448521593
4,2,std_delta_delta_log_energy,0.10874457205714716
4,3,tqwt_entropy_log_dec_35,0.10383287681141029
4,4,tqwt_entropy_log_dec_11,0.09771326531199453
4,5,app_entropy_shannon_5_coef,0.09535138293360856
4,6,std_9th_delta_delta,0.09278081690125073
4,7,tqwt_TKEO_std_dec_12,0.09213431811354211
4,8,mean_MFCC_2nd_coef,0.09114405478103715
4,9,tqwt_TKEO_std_dec_11,0.08995786242837811
4,10,tqwt_medianValue_dec_8,0.08957486423576433
5,1,tqwt_entropy_log_dec_35,0.11890762896947238
5,2,std_delta_delta_log_energy,0.11528147215140927
5,3,tqwt_TKEO_mean_dec_12,0.10351438927391587
5,4,mean_MFCC_2nd_coef,0.102248887732866
5,5,minIntensity,0.10105068660609362
5,6,tqwt_TKEO_std_dec_12,0.09745078684725383
5,7,tqwt_skewnessValue_dec_36,0.09591486713397601
5,8,std_6th_delta,0.09038828658124021
5,9,std_8th_delta_delta,0.0903509356942076
5,10,app_entropy_shannon_3_coef,0.08996673856059334
6,1,tqwt_entropy_log_dec_35,0.1058722270809358
6,2,tqwt_medianValue_dec_8,0.10236032352382196
6,3,tqwt_TKEO_mean_dec_16,0.09908290028975286
6,4,std_delta_delta_log_energy,0.0987825375985174
6,5,mean_MFCC_2nd_coef,0.09606897884253729
6,6,tqwt_entropy_shannon_dec_35,0.09533090364153729
6,7,tqwt_TKEO_mean_dec_11,0.09503607080989651
6,8,app_entropy_shannon_5_coef,0.09353795348385718
6,9,std_delta_log_energy,0.09304910496388374
6,10,tqwt_minValue_dec_11,0.0921761016212399
7,1,std_delta_delta_log_energy,0.1153429116658764
7,2,mean_MFCC_2nd_coef,0.10077858684192642
7,3,tqwt_medianValue_dec_8,0.09767730186052392
7,4,tqwt_entropy_log_dec_12,0.09690584543218805
7,5,tqwt_entropy_shannon_dec_35,0.0961225002331727
7,6,tqwt_entropy_log_dec_11,0.09548981425662229
7,7,std_9th_delta_delta,0.09499881564432999
7,8,std_8th_delta_delta,0.09409878125936277
7,9,tqwt_TKEO_mean_dec_16,0.09366229371970314
7,10,tqwt_skewnessValue_dec_36,0.0935408642627793
8,1,std_delta_delta_log_energy,0.10800817015932629
8,2,tqwt_entropy_log_dec_35,0.10389730574838141
8,3,tqwt_stdValue_dec_12,0.1034730721388506
8,4,app_entropy_shannon_5_coef,0.10202560843033637
8,5,std_delta_log_energy,0.10177814829792386
8,6,app_entropy_log_5_coef,0.1017589723962149
8,7,std_8th_delta_delta,0.09950480677718976
8,8,tqwt_TKEO_std_dec_12,0.09884598425490809
8,9,tqwt_stdValue_dec_15,0.09820201358712222
8,10,tqwt_entropy_shannon_dec_35,0.09807577907052045
9,1,std_8th_delta_delta,0.11568898272109851
9,2,tqwt_maxValue_dec_12,0.10823079063095009
9,3,tqwt_TKEO_mean_dec_12,0.1056881763050308
9,4,tqwt_stdValue_dec_15,0.10552904525560125
9,5,std_delta_delta_log_energy,0.10419121538750287
9,6,mean_MFCC_2nd_coef,0.10186094250268862
9,7,tqwt_entropy_log_dec_12,0.10124594197561043
9,8,tqwt_entropy_log_dec_35,0.09924772545601424
9,9,tqwt_TKEO_std_dec_13,0.0978118404432371
9,10,tqwt_TKEO_std_dec_12,0.09645235447768852
10,1,std_8th_delta_delta,0.1109184377744481
10,2,tqwt_entropy_log_dec_35,0.10926256977867843
10,3,tqwt_entropy_log_dec_11,0.10814559231119181
10,4,mean_MFCC_2nd_coef,0.10709973823146712
10,5,tqwt_maxValue_dec_12,0.10471268259876187
10,6,tqwt_TKEO_mean_dec_16,0.1029555271797209
10,7,tqwt_stdValue_dec_12,0.10075499750392924
10,8,app_LT_entropy_shannon_7_coef,0.1002704932703995
10,9,minIntensity,0.09701918056194381
10,10,tqwt_TKEO_std_dec_12,0.09498427029441836
