model_name,model_family,feature_mode,fold,selected_feature_count,accuracy,recall,f1,roc_auc,fit_sample_count,fit_strategy
PSO-SVM,swarm,pso_top10,1,10,0.881578947368421,0.9649122807017544,0.9243697478991597,0.9436749769159741,680,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,2,10,0.8026315789473685,0.9649122807017544,0.88,0.7645429362880886,680,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,3,10,0.8289473684210527,0.9649122807017544,0.8943089430894309,0.8448753462603878,680,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,4,10,0.8947368421052632,0.9649122807017544,0.9322033898305084,0.9372114496768237,680,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,5,10,0.8289473684210527,0.9821428571428571,0.8943089430894309,0.8410714285714286,680,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,6,10,0.8552631578947368,0.9821428571428571,0.9090909090909091,0.8794642857142857,680,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,7,10,0.88,0.9821428571428571,0.9243697478991597,0.8703007518796992,681,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,8,10,0.84,0.9821428571428571,0.9016393442622951,0.8280075187969924,681,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,9,10,0.8133333333333334,0.8928571428571429,0.8771929824561403,0.8449248120300752,681,pso_optimized_full_dataset
PSO-SVM,swarm,pso_top10,10,10,0.8133333333333334,0.9464285714285714,0.8833333333333333,0.8214285714285715,681,pso_optimized_full_dataset
