iteration,particle,C,gamma,mean_f1
1,1,74.09352260173368,0.015645599135697304,0.8942904240926696
1,2,196.33132590332258,0.3067892553546428,0.8693637291077473
1,3,0.029572411409066114,7.55286562611562,0.8545454545454545
1,4,63.92908815231851,0.8517684046357205,0.8761779012169476
1,5,0.04370872753994991,0.01786198373141632,0.8545454545454545
1,6,0.7144800737102956,4.303531084612695,0.8545454545454545
1,7,16.570117971466743,1.2995951034240834,0.8730768591055004
1,8,1.6484318387214913,0.0013683386964345485,0.8708013221655274
1,9,5.9282148520287965,0.00020849050463739858,0.8642090789858942
1,10,137.45351808288652,0.1439865731152543,0.88618175401426
2,1,67.95997070361955,0.011380556552917042,0.8934393553859202
2,2,165.28279909232307,0.013203742230250363,0.8921604381540152
2,3,19.785414672082606,0.06324098554792777,0.8979256041708856
2,4,91.65042344622543,0.19597389340220916,0.889509809050039
2,5,0.07222728171980418,0.02020524227962016,0.8626295880431177
2,6,7.459288940488258,0.16067273711700103,0.897358337864667
2,7,73.23611770737377,0.2200014457729475,0.8826085539069947
2,8,2.9661794072133874,0.005852629544077703,0.8953950050297447
2,9,15.294430983932285,0.006672430490440532,0.8996623531994216
2,10,58.74480666248175,0.018633802821447908,0.8942904240926696
3,1,11.211400254846943,0.006804430802986926,0.9007845617057622
3,2,63.65720484408017,0.0008719886204563837,0.8954358398802844
3,3,656.9944866123004,0.00044772045684506983,0.8986681139790118
3,4,38.119299117544195,0.024131811474921636,0.8926320492999663
3,5,0.1940322314746351,0.0056258713290136255,0.863536882964861
3,6,45.22927939561011,0.010007238740315968,0.9034473722340698
3,7,90.80498000730813,0.005104090624971634,0.8984430287632001
3,8,6.168291667522238,0.015821999175206675,0.9002805280528053
3,9,26.501275058058695,0.04980796169421609,0.8942864907989444
3,10,16.36533142680965,0.002385240558602551,0.8967003513875808
4,1,9.856735614000442,0.006519468831401431,0.8998832995516247
4,2,23.745845603034414,0.0011857522132737869,0.8926525961854735
4,3,905.7611878886008,0.0001,0.8962414769981987
4,4,24.741024992206793,0.0038575590954557618,0.9004071815802636
4,5,8.702359374362134,0.0027253885588007527,0.8964788080882627
4,6,128.6466752460122,0.002000092404541757,0.8988810805233306
4,7,90.1493078416384,0.000951922021695547,0.8969343531349216
4,8,12.630272122017034,0.018587460319577056,0.9010240535331727
4,9,21.924941614823904,0.010345442477707361,0.9002537357163302
4,10,21.149534741251358,0.003206053932878593,0.8991166720547644
5,1,58.23102981335471,0.011242927349566032,0.8960852553324239
5,2,28.596054240546806,0.0034653879094199294,0.9011460471696978
5,3,37.74818555051,0.004694174893142225,0.8993297539653272
5,4,26.103553892827122,0.0015040745654304897,0.8959539713308557
5,5,416.18588858931815,0.0028380375820681466,0.9008648777225224
5,6,41.712380896940154,0.004066043496336415,0.8995089073354885
5,7,80.27556039290245,0.04203096753849061,0.8969110634468042
5,8,24.92178908546985,0.017567809424296678,0.8925483168805108
5,9,35.290334308587774,0.003997860727269076,0.8987261769128091
5,10,30.022169092984555,0.006131460996976039,0.9028492300601632
6,1,26.126823433029813,0.007390447586717543,0.9011990650436615
6,2,48.006817320440064,0.02535473297532521,0.892569707251294
6,3,6.409042009506919,0.11259300685116004,0.9025975431038722
6,4,27.168861097949158,0.00853334902615679,0.9021130321987423
6,5,586.8709087172057,0.0034790642368094115,0.8978432801741688
6,6,23.778077327431998,0.02070364067085265,0.8928446357174297
6,7,36.710223746142944,0.012082099807602975,0.9008745755244377
6,8,40.619511296882614,0.009762387644417867,0.9026898523133432
6,9,50.00034608030938,0.007136544311672327,0.8984430287632001
6,10,37.15092494097975,0.009599211437220456,0.9001273137351236
7,1,18.291041634918727,0.008119850007974388,0.8995273391102998
7,2,53.73949812529719,0.01612981054001356,0.8918882735287884
7,3,26.015932252076976,0.41397576940918557,0.882929438257754
7,4,33.82417111816622,0.024138043555278012,0.8933888637315492
7,5,403.79952833973886,0.0035893023321861336,0.8986382414353432
7,6,31.714073601716702,0.019135371072418098,0.8928446357174297
7,7,23.672093377453567,0.005044432257533773,0.8987700417460541
7,8,59.523260233048916,0.0070352456780454695,0.9000823563954666
7,9,23.624046871444932,0.01325486055475959,0.901771315322487
7,10,52.030743414262574,0.009113745423966566,0.9034473722340698
8,1,39.35517519583186,0.008704187476913594,0.9010458507259798
8,2,41.39564158328501,0.005307931326868216,0.9011775041268014
8,3,37.75621099837416,0.04141171893290205,0.891664463183698
8,4,44.02446544452418,0.012209377936198857,0.8961165540112909
8,5,151.09756713093665,0.004294294369720961,0.8985859894796375
8,6,70.26178692288099,0.012128460343182155,0.8934393553859202
8,7,38.8964001142086,0.004799092698031611,0.9011984054428877
8,8,41.97158250894494,0.010134312745791846,0.9026898523133432
8,9,21.330002445074747,0.014632934462806342,0.9026898523133432
8,10,59.80323338263256,0.009969046410265834,0.8981135810062897
