Feature,Importance
tqwt_entropy_shannon_dec_12,0.032074865
tqwt_TKEO_std_dec_13,0.023719741
tqwt_entropy_shannon_dec_13,0.01711517
tqwt_entropy_log_dec_12,0.017054413
rapJitter,0.01390174
tqwt_entropy_log_dec_8,0.013667287
std_delta_delta_log_energy,0.013623625
ppq5Jitter,0.012785181
tqwt_entropy_shannon_dec_36,0.011480881
tqwt_TKEO_mean_dec_12,0.011049684
tqwt_TKEO_std_dec_12,0.009854691
Ed2_6_coef,0.009384595
tqwt_entropy_shannon_dec_35,0.008950162
tqwt_energy_dec_15,0.008855084
tqwt_entropy_log_dec_16,0.008713775
tqwt_entropy_shannon_dec_17,0.0078748455
tqwt_stdValue_dec_5,0.0076525905
Ed2_1_coef,0.0075751324
mean_11th_delta_delta,0.0074570496
tqwt_maxValue_dec_13,0.0074380008
tqwt_kurtosisValue_dec_6,0.0068534324
tqwt_energy_dec_12,0.0064465264
tqwt_TKEO_std_dec_24,0.006111283
std_10th_delta_delta,0.005949459
tqwt_medianValue_dec_11,0.005920013
tqwt_energy_dec_6,0.005866562
tqwt_TKEO_std_dec_21,0.005665357
tqwt_energy_dec_27,0.005662622
Ed_1_coef,0.0055861217
locDbShimmer,0.0055551063
tqwt_skewnessValue_dec_34,0.0055403817
std_7th_delta_delta,0.0054641142
tqwt_stdValue_dec_19,0.005435029
tqwt_TKEO_std_dec_17,0.005379135
tqwt_maxValue_dec_11,0.0052735684
apq11Shimmer,0.0052184556
app_LT_TKEO_std_8_coef,0.0052176565
tqwt_maxValue_dec_21,0.0050235214
std_9th_delta_delta,0.0047487956
numPeriodsPulses,0.0044986424
tqwt_stdValue_dec_21,0.00448314
tqwt_TKEO_std_dec_14,0.004418243
tqwt_energy_dec_11,0.0044123316
app_TKEO_std_7_coef,0.0043846876
tqwt_skewnessValue_dec_26,0.0043624123
IMF_NSR_SEO,0.004317238
std_12th_delta_delta,0.00426409
tqwt_stdValue_dec_26,0.00423915
tqwt_entropy_log_dec_23,0.004222488
tqwt_entropy_log_dec_27,0.004213074
tqwt_kurtosisValue_dec_10,0.0041358345
std_6th_delta_delta,0.0041286815
tqwt_energy_dec_2,0.0041200034
tqwt_entropy_log_dec_33,0.0039758147
tqwt_maxValue_dec_8,0.003950705
tqwt_medianValue_dec_36,0.003922119
b1,0.0038875209
tqwt_skewnessValue_dec_22,0.0038765974
tqwt_energy_dec_8,0.0038638464
std_2nd_delta,0.003809024
std_MFCC_6th_coef,0.003792384
tqwt_minValue_dec_1,0.0037667165
tqwt_stdValue_dec_28,0.003729345
GNE_NSR_TKEO,0.003646442
tqwt_entropy_shannon_dec_18,0.0036039187
tqwt_kurtosisValue_dec_27,0.0035960744
tqwt_entropy_log_dec_35,0.0035816315
tqwt_energy_dec_26,0.003578544
