Feature,Importance
tqwt_entropy_shannon_dec_12,0.032074865
tqwt_TKEO_std_dec_13,0.023719741
tqwt_entropy_shannon_dec_13,0.01711517
tqwt_entropy_log_dec_12,0.017054413
rapJitter,0.01390174
tqwt_entropy_log_dec_8,0.013667287
std_delta_delta_log_energy,0.013623625
ppq5Jitter,0.012785181
tqwt_entropy_shannon_dec_36,0.011480881
tqwt_TKEO_mean_dec_12,0.011049684
tqwt_TKEO_std_dec_12,0.009854691
Ed2_6_coef,0.009384595
tqwt_entropy_shannon_dec_35,0.008950162
tqwt_energy_dec_15,0.008855084
tqwt_entropy_log_dec_16,0.008713775
tqwt_entropy_shannon_dec_17,0.0078748455
tqwt_stdValue_dec_5,0.0076525905
Ed2_1_coef,0.0075751324
mean_11th_delta_delta,0.0074570496
tqwt_maxValue_dec_13,0.0074380008
