model_name,model_family,actual_label,predicted_label,count
LogisticRegression,classical,0,0,35
LogisticRegression,classical,0,1,7
LogisticRegression,classical,1,0,16
LogisticRegression,classical,1,1,16
SVM,classical,0,0,37
SVM,classical,0,1,5
SVM,classical,1,0,21
SVM,classical,1,1,11
RandomForest,classical,0,0,38
RandomForest,classical,0,1,4
RandomForest,classical,1,0,14
RandomForest,classical,1,1,18
XGBoost,classical,0,0,39
XGBoost,classical,0,1,3
XGBoost,classical,1,0,5
XGBoost,classical,1,1,27
KNN,classical,0,0,37
KNN,classical,0,1,5
KNN,classical,1,0,22
KNN,classical,1,1,10
QSVM,quantum,0,0,31
QSVM,quantum,0,1,11
QSVM,quantum,1,0,24
QSVM,quantum,1,1,8
VQC,quantum,0,0,20
VQC,quantum,0,1,22
VQC,quantum,1,0,15
VQC,quantum,1,1,17
