model_name,model_family,fold,accuracy,recall,f1,roc_auc,fit_sample_count,fit_strategy
LogisticRegression,classical,1,0.5,0.3333333333333333,0.3333333333333333,0.5333333333333332,66,full_dataset
LogisticRegression,classical,2,0.625,0.3333333333333333,0.4,0.8,66,full_dataset
LogisticRegression,classical,3,0.75,0.5,0.6666666666666666,0.6875,66,full_dataset
LogisticRegression,classical,4,0.75,0.5,0.6666666666666666,0.8125,66,full_dataset
LogisticRegression,classical,5,0.8571428571428571,0.6666666666666666,0.8,1.0,67,full_dataset
LogisticRegression,classical,6,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5833333333333334,67,full_dataset
LogisticRegression,classical,7,0.8571428571428571,0.6666666666666666,0.8,1.0,67,full_dataset
LogisticRegression,classical,8,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,67,full_dataset
LogisticRegression,classical,9,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.25,67,full_dataset
LogisticRegression,classical,10,0.7142857142857143,0.3333333333333333,0.5,0.6666666666666666,67,full_dataset
SVM,classical,1,0.625,0.3333333333333333,0.4,0.8,66,full_dataset
SVM,classical,2,0.625,0.3333333333333333,0.4,0.7333333333333333,66,full_dataset
SVM,classical,3,0.625,0.25,0.4,0.75,66,full_dataset
SVM,classical,4,0.75,0.5,0.6666666666666666,0.9375,66,full_dataset
SVM,classical,5,0.7142857142857143,0.3333333333333333,0.5,0.5,67,full_dataset
SVM,classical,6,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,67,full_dataset
SVM,classical,7,0.5714285714285714,0.0,0.0,0.75,67,full_dataset
SVM,classical,8,0.7142857142857143,0.3333333333333333,0.5,0.6666666666666666,67,full_dataset
SVM,classical,9,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,67,full_dataset
SVM,classical,10,0.7142857142857143,0.3333333333333333,0.5,0.8333333333333333,67,full_dataset
RandomForest,classical,1,0.75,0.3333333333333333,0.5,1.0,66,full_dataset
RandomForest,classical,2,0.625,0.3333333333333333,0.4,0.6666666666666666,66,full_dataset
RandomForest,classical,3,0.75,0.5,0.6666666666666666,0.78125,66,full_dataset
RandomForest,classical,4,1.0,1.0,1.0,1.0,66,full_dataset
RandomForest,classical,5,0.8571428571428571,0.6666666666666666,0.8,0.75,67,full_dataset
RandomForest,classical,6,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333333,67,full_dataset
RandomForest,classical,7,0.7142857142857143,0.3333333333333333,0.5,0.9166666666666666,67,full_dataset
RandomForest,classical,8,0.8571428571428571,0.6666666666666666,0.8,1.0,67,full_dataset
RandomForest,classical,9,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.41666666666666663,67,full_dataset
RandomForest,classical,10,0.8571428571428571,0.6666666666666666,0.8,1.0,67,full_dataset
XGBoost,classical,1,1.0,1.0,1.0,1.0,66,full_dataset
XGBoost,classical,2,0.875,1.0,0.8571428571428571,1.0,66,full_dataset
XGBoost,classical,3,0.875,0.75,0.8571428571428571,1.0,66,full_dataset
XGBoost,classical,4,1.0,1.0,1.0,1.0,66,full_dataset
XGBoost,classical,5,0.7142857142857143,0.3333333333333333,0.5,0.9166666666666666,67,full_dataset
XGBoost,classical,6,1.0,1.0,1.0,1.0,67,full_dataset
XGBoost,classical,7,0.8571428571428571,1.0,0.8571428571428571,1.0,67,full_dataset
XGBoost,classical,8,1.0,1.0,1.0,1.0,67,full_dataset
XGBoost,classical,9,0.5714285714285714,0.3333333333333333,0.4,0.75,67,full_dataset
XGBoost,classical,10,1.0,1.0,1.0,1.0,67,full_dataset
KNN,classical,1,0.75,0.3333333333333333,0.5,0.39999999999999997,66,full_dataset
KNN,classical,2,0.625,0.3333333333333333,0.4,0.43333333333333335,66,full_dataset
KNN,classical,3,0.625,0.5,0.5714285714285714,0.71875,66,full_dataset
KNN,classical,4,0.75,0.5,0.6666666666666666,0.9375,66,full_dataset
KNN,classical,5,0.5714285714285714,0.0,0.0,0.3333333333333333,67,full_dataset
KNN,classical,6,0.7142857142857143,0.3333333333333333,0.5,0.6666666666666666,67,full_dataset
KNN,classical,7,0.5714285714285714,0.3333333333333333,0.4,0.5416666666666666,67,full_dataset
KNN,classical,8,0.7142857142857143,0.3333333333333333,0.5,0.5833333333333333,67,full_dataset
KNN,classical,9,0.42857142857142855,0.0,0.0,0.2916666666666667,67,full_dataset
KNN,classical,10,0.5714285714285714,0.3333333333333333,0.4,0.6666666666666666,67,full_dataset
QSVM,quantum,1,0.625,0.0,0.0,0.33333333333333326,32,stratified_subsample
QSVM,quantum,2,0.375,1.0,0.5454545454545454,0.1333333333333333,32,stratified_subsample
QSVM,quantum,3,0.5,0.0,0.0,0.0625,32,stratified_subsample
QSVM,quantum,4,0.5,0.0,0.0,0.3125,32,stratified_subsample
QSVM,quantum,5,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,32,stratified_subsample
QSVM,quantum,6,0.5714285714285714,0.0,0.0,0.5,32,stratified_subsample
QSVM,quantum,7,0.5714285714285714,0.0,0.0,0.16666666666666666,32,stratified_subsample
QSVM,quantum,8,0.5714285714285714,0.0,0.0,0.41666666666666663,32,stratified_subsample
QSVM,quantum,9,0.42857142857142855,1.0,0.6,0.5833333333333334,32,stratified_subsample
QSVM,quantum,10,0.5714285714285714,0.0,0.0,0.08333333333333333,32,stratified_subsample
