position,feature_name
0,duration_seconds
1,hnr_mean
2,jitter_local
3,mfcc_10_max
4,mfcc_10_mean
5,mfcc_10_min
6,mfcc_10_std
7,mfcc_11_max
8,mfcc_11_mean
9,mfcc_11_min
10,mfcc_11_std
11,mfcc_12_max
12,mfcc_12_mean
13,mfcc_12_min
14,mfcc_12_std
15,mfcc_13_max
16,mfcc_13_mean
17,mfcc_13_min
18,mfcc_13_std
19,mfcc_1_max
20,mfcc_1_mean
21,mfcc_1_min
22,mfcc_1_std
23,mfcc_2_max
24,mfcc_2_mean
25,mfcc_2_min
26,mfcc_2_std
27,mfcc_3_max
28,mfcc_3_mean
29,mfcc_3_min
30,mfcc_3_std
31,mfcc_4_max
32,mfcc_4_mean
33,mfcc_4_min
34,mfcc_4_std
35,mfcc_5_max
36,mfcc_5_mean
37,mfcc_5_min
38,mfcc_5_std
39,mfcc_6_max
40,mfcc_6_mean
41,mfcc_6_min
42,mfcc_6_std
43,mfcc_7_max
44,mfcc_7_mean
45,mfcc_7_min
46,mfcc_7_std
47,mfcc_8_max
48,mfcc_8_mean
49,mfcc_8_min
50,mfcc_8_std
51,mfcc_9_max
52,mfcc_9_mean
53,mfcc_9_min
54,mfcc_9_std
55,path_depth
56,pitch_max
57,pitch_mean
58,pitch_min
59,pitch_std
60,rms_max
61,rms_mean
62,rms_min
63,rms_std
64,row_index
65,shimmer_local
66,signal_energy
67,signal_std
68,spectral_bandwidth_max
69,spectral_bandwidth_mean
70,spectral_bandwidth_min
71,spectral_bandwidth_std
72,spectral_centroid_max
73,spectral_centroid_mean
74,spectral_centroid_min
75,spectral_centroid_std
76,spectral_flatness_max
77,spectral_flatness_mean
78,spectral_flatness_min
79,spectral_flatness_std
80,spectral_rolloff_max
81,spectral_rolloff_mean
82,spectral_rolloff_min
83,spectral_rolloff_std
84,zcr_max
85,zcr_mean
86,zcr_min
87,zcr_std
