model_name,model_family,actual_label,predicted_label,count
LogisticRegression,classical,0,0,39
LogisticRegression,classical,0,1,2
LogisticRegression,classical,1,0,0
LogisticRegression,classical,1,1,27
SVM,classical,0,0,40
SVM,classical,0,1,1
SVM,classical,1,0,1
SVM,classical,1,1,26
RandomForest,classical,0,0,40
RandomForest,classical,0,1,1
RandomForest,classical,1,0,0
RandomForest,classical,1,1,27
XGBoost,classical,0,0,40
XGBoost,classical,0,1,1
XGBoost,classical,1,0,1
XGBoost,classical,1,1,26
KNN,classical,0,0,40
KNN,classical,0,1,1
KNN,classical,1,0,0
KNN,classical,1,1,27
QSVM,quantum,0,0,41
QSVM,quantum,0,1,0
QSVM,quantum,1,0,26
QSVM,quantum,1,1,1
VQC,quantum,0,0,26
VQC,quantum,0,1,15
VQC,quantum,1,0,13
VQC,quantum,1,1,14
