model_name,model_family,fold,accuracy,recall,f1,roc_auc,fit_sample_count,fit_strategy
LogisticRegression,classical,1,1.0,1.0,1.0,1.0,61,full_dataset
LogisticRegression,classical,2,0.8571428571428571,1.0,0.8571428571428571,0.75,61,full_dataset
LogisticRegression,classical,3,1.0,1.0,1.0,1.0,61,full_dataset
LogisticRegression,classical,4,0.8571428571428571,1.0,0.8571428571428571,1.0,61,full_dataset
LogisticRegression,classical,5,1.0,1.0,1.0,1.0,61,full_dataset
LogisticRegression,classical,6,1.0,1.0,1.0,1.0,61,full_dataset
LogisticRegression,classical,7,1.0,1.0,1.0,1.0,61,full_dataset
LogisticRegression,classical,8,1.0,1.0,1.0,1.0,61,full_dataset
LogisticRegression,classical,9,1.0,1.0,1.0,1.0,62,full_dataset
LogisticRegression,classical,10,1.0,1.0,1.0,1.0,62,full_dataset
SVM,classical,1,0.8571428571428571,0.5,0.6666666666666666,1.0,61,full_dataset
SVM,classical,2,0.8571428571428571,1.0,0.8571428571428571,0.9166666666666666,61,full_dataset
SVM,classical,3,1.0,1.0,1.0,1.0,61,full_dataset
SVM,classical,4,1.0,1.0,1.0,1.0,61,full_dataset
SVM,classical,5,1.0,1.0,1.0,1.0,61,full_dataset
SVM,classical,6,1.0,1.0,1.0,1.0,61,full_dataset
SVM,classical,7,1.0,1.0,1.0,1.0,61,full_dataset
SVM,classical,8,1.0,1.0,1.0,1.0,61,full_dataset
SVM,classical,9,1.0,1.0,1.0,1.0,62,full_dataset
SVM,classical,10,1.0,1.0,1.0,1.0,62,full_dataset
RandomForest,classical,1,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,2,0.8571428571428571,1.0,0.8571428571428571,1.0,61,full_dataset
RandomForest,classical,3,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,4,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,5,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,6,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,7,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,8,1.0,1.0,1.0,1.0,61,full_dataset
RandomForest,classical,9,1.0,1.0,1.0,1.0,62,full_dataset
RandomForest,classical,10,1.0,1.0,1.0,1.0,62,full_dataset
XGBoost,classical,1,1.0,1.0,1.0,1.0,61,full_dataset
XGBoost,classical,2,0.8571428571428571,1.0,0.8571428571428571,1.0,61,full_dataset
XGBoost,classical,3,1.0,1.0,1.0,1.0,61,full_dataset
XGBoost,classical,4,1.0,1.0,1.0,1.0,61,full_dataset
XGBoost,classical,5,1.0,1.0,1.0,1.0,61,full_dataset
XGBoost,classical,6,0.8571428571428571,0.6666666666666666,0.8,1.0,61,full_dataset
XGBoost,classical,7,1.0,1.0,1.0,1.0,61,full_dataset
XGBoost,classical,8,1.0,1.0,1.0,1.0,61,full_dataset
XGBoost,classical,9,1.0,1.0,1.0,1.0,62,full_dataset
XGBoost,classical,10,1.0,1.0,1.0,1.0,62,full_dataset
KNN,classical,1,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,2,0.8571428571428571,1.0,0.8571428571428571,0.875,61,full_dataset
KNN,classical,3,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,4,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,5,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,6,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,7,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,8,1.0,1.0,1.0,1.0,61,full_dataset
KNN,classical,9,1.0,1.0,1.0,1.0,62,full_dataset
KNN,classical,10,1.0,1.0,1.0,1.0,62,full_dataset
QSVM,quantum,1,0.7142857142857143,0.0,0.0,0.7,32,stratified_subsample
QSVM,quantum,2,0.5714285714285714,0.0,0.0,0.5,32,stratified_subsample
QSVM,quantum,3,0.5714285714285714,0.0,0.0,0.3333333333333333,32,stratified_subsample
QSVM,quantum,4,0.5714285714285714,0.0,0.0,0.16666666666666666,32,stratified_subsample
QSVM,quantum,5,0.5714285714285714,0.0,0.0,0.16666666666666666,32,stratified_subsample
QSVM,quantum,6,0.7142857142857143,0.3333333333333333,0.5,0.08333333333333333,32,stratified_subsample
QSVM,quantum,7,0.5714285714285714,0.0,0.0,0.08333333333333333,32,stratified_subsample
QSVM,quantum,8,0.5714285714285714,0.0,0.0,0.08333333333333333,32,stratified_subsample
QSVM,quantum,9,0.6666666666666666,0.0,0.0,0.25,32,stratified_subsample
QSVM,quantum,10,0.6666666666666666,0.0,0.0,0.0,32,stratified_subsample
VQC,quantum,1,0.5714285714285714,0.0,0.0,0.55,32,stratified_subsample
VQC,quantum,2,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.75,32,stratified_subsample
VQC,quantum,3,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8333333333333333,32,stratified_subsample
VQC,quantum,4,0.5714285714285714,0.3333333333333333,0.4,0.8333333333333334,32,stratified_subsample
VQC,quantum,5,0.5714285714285714,0.3333333333333333,0.4,0.75,32,stratified_subsample
VQC,quantum,6,0.5714285714285714,1.0,0.6666666666666666,0.6666666666666666,32,stratified_subsample
VQC,quantum,7,0.5714285714285714,0.0,0.0,0.6666666666666666,32,stratified_subsample
VQC,quantum,8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.8333333333333334,32,stratified_subsample
VQC,quantum,9,0.3333333333333333,1.0,0.5,0.5,32,stratified_subsample
VQC,quantum,10,0.6666666666666666,0.5,0.5,0.75,32,stratified_subsample
