model_name,model_family,mean_accuracy,mean_recall,mean_f1,mean_roc_auc,mean_fit_sample_count,fit_strategy,cv_folds,inference_ready,dataset_id,dataset_source,fit_sample_count
XGBoost,classical,0.9153157894736841,0.982236842105263,0.9454522014104972,0.9604352987732488,680.4,full_dataset,10,True,pd_speech_features_local,pd_speech_features.csv,756
RandomForest,classical,0.888842105263158,0.982236842105263,0.9296931858772105,0.9536621982588048,680.4,full_dataset,10,True,pd_speech_features_local,pd_speech_features.csv,756
KNN,classical,0.8690350877192982,0.9750939849624061,0.917490831144973,0.9311122790528954,680.4,full_dataset,10,True,pd_speech_features_local,pd_speech_features.csv,756
SVM,classical,0.8544035087719297,0.9858082706766916,0.9100837363493935,0.8868018731038122,680.4,full_dataset,10,True,pd_speech_features_local,pd_speech_features.csv,756
LogisticRegression,classical,0.8306842105263158,0.8919172932330826,0.8869247191432464,0.8729990271731962,680.4,full_dataset,10,True,pd_speech_features_local,pd_speech_features.csv,756
QSVM,quantum,0.7460350877192983,1.0,0.85453884537854,0.3778620069911621,32.0,stratified_subsample,10,True,pd_speech_features_local,pd_speech_features.csv,32
VQC,quantum,0.5040175438596491,0.5018483709273183,0.5966399767041167,0.509529910302071,32.0,stratified_subsample,10,False,pd_speech_features_local,pd_speech_features.csv,32
XGBoost,classical,0.9848484848484848,0.975,0.9836363636363636,1.0,297.0,full_dataset,10,True,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,330
RandomForest,classical,0.9606060606060606,0.9455882352941177,0.959820032118419,0.9935661764705882,297.0,full_dataset,10,True,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,330
SVM,classical,0.9424242424242424,0.9091911764705882,0.9400670605485596,0.9889705882352942,297.0,full_dataset,10,True,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,330
KNN,classical,0.9242424242424242,0.8966911764705883,0.9218004386505335,0.975,297.0,full_dataset,10,True,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,330
LogisticRegression,classical,0.8969696969696971,0.9033088235294118,0.8982933597734357,0.9727941176470587,297.0,full_dataset,10,True,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,330
QSVM,quantum,0.5363636363636364,0.8985294117647058,0.6582318468983519,0.3599264705882353,32.0,stratified_subsample,10,True,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,32
VQC,quantum,0.5484848484848485,0.48382352941176465,0.5146667816444693,0.5829044117647058,32.0,stratified_subsample,10,False,kongkon123890_uci_parkinsons_voice,XANJEEV/Parkinson_Classification_Dataset,32
RandomForest,classical,0.9857142857142858,1.0,0.9857142857142858,1.0,61.2,full_dataset,10,True,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,68
KNN,classical,0.9857142857142858,1.0,0.9857142857142858,0.9875,61.2,full_dataset,10,True,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,68
LogisticRegression,classical,0.9714285714285715,1.0,0.9714285714285715,0.975,61.2,full_dataset,10,True,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,68
XGBoost,classical,0.9714285714285715,0.9666666666666666,0.9657142857142856,1.0,61.2,full_dataset,10,True,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,68
SVM,classical,0.9714285714285715,0.95,0.9523809523809523,0.9916666666666666,61.2,full_dataset,10,True,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,68
VQC,quantum,0.5857142857142856,0.5166666666666666,0.43714285714285717,0.7133333333333333,32.0,stratified_subsample,10,False,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,32
QSVM,quantum,0.6190476190476191,0.03333333333333333,0.05,0.23666666666666666,32.0,stratified_subsample,10,True,birgermoell_Italian_Parkinsons_Voice_and_Speech,birgermoell/Italian_Parkinsons_Voice_and_Speech,32
XGBoost,classical,0.8892857142857142,0.8416666666666666,0.8471428571428572,0.9666666666666666,66.6,full_dataset,10,True,Hahad14_Parkinsons_Disease_Speech,Hahad14/Parkinsons_Disease_Speech,74
RandomForest,classical,0.7553571428571428,0.55,0.6466666666666666,0.8364583333333332,66.6,full_dataset,10,True,Hahad14_Parkinsons_Disease_Speech,Hahad14/Parkinsons_Disease_Speech,74
LogisticRegression,classical,0.6910714285714286,0.4999999999999999,0.5833333333333333,0.7,66.6,full_dataset,10,True,Hahad14_Parkinsons_Disease_Speech,Hahad14/Parkinsons_Disease_Speech,74
VQC,quantum,0.5053571428571428,0.5166666666666666,0.47833333333333333,0.5379166666666667,32.0,stratified_subsample,10,False,Hahad14_Parkinsons_Disease_Speech,Hahad14/Parkinsons_Disease_Speech,32
