model_name,model_family,actual_label,predicted_label,count
LogisticRegression,classical,0,0,147
LogisticRegression,classical,0,1,18
LogisticRegression,classical,1,0,16
LogisticRegression,classical,1,1,149
SVM,classical,0,0,161
SVM,classical,0,1,4
SVM,classical,1,0,15
SVM,classical,1,1,150
RandomForest,classical,0,0,161
RandomForest,classical,0,1,4
RandomForest,classical,1,0,9
RandomForest,classical,1,1,156
XGBoost,classical,0,0,164
XGBoost,classical,0,1,1
XGBoost,classical,1,0,4
XGBoost,classical,1,1,161
KNN,classical,0,0,157
KNN,classical,0,1,8
KNN,classical,1,0,17
KNN,classical,1,1,148
QSVM,quantum,0,0,29
QSVM,quantum,0,1,136
QSVM,quantum,1,0,17
QSVM,quantum,1,1,148
VQC,quantum,0,0,101
VQC,quantum,0,1,64
VQC,quantum,1,0,85
VQC,quantum,1,1,80
