model_name,model_family,fold,accuracy,recall,f1,roc_auc,fit_sample_count,fit_strategy
LogisticRegression,classical,1,0.7575757575757576,0.75,0.75,0.9080882352941175,297,full_dataset
LogisticRegression,classical,2,0.9696969696969697,0.9375,0.967741935483871,0.9852941176470588,297,full_dataset
LogisticRegression,classical,3,0.8787878787878788,0.9375,0.8823529411764706,0.9669117647058822,297,full_dataset
LogisticRegression,classical,4,1.0,1.0,1.0,1.0,297,full_dataset
LogisticRegression,classical,5,0.9393939393939394,0.9375,0.9375,0.9926470588235294,297,full_dataset
LogisticRegression,classical,6,0.8787878787878788,0.8235294117647058,0.875,0.9669117647058824,297,full_dataset
LogisticRegression,classical,7,0.9393939393939394,0.8823529411764706,0.9375,0.9926470588235294,297,full_dataset
LogisticRegression,classical,8,0.9393939393939394,1.0,0.9444444444444444,1.0,297,full_dataset
LogisticRegression,classical,9,0.8484848484848485,0.9411764705882353,0.8648648648648649,0.9632352941176471,297,full_dataset
LogisticRegression,classical,10,0.8181818181818182,0.8235294117647058,0.8235294117647058,0.9522058823529411,297,full_dataset
SVM,classical,1,0.8484848484848485,0.8125,0.8387096774193549,0.9669117647058822,297,full_dataset
SVM,classical,2,0.9696969696969697,0.9375,0.967741935483871,0.9779411764705882,297,full_dataset
SVM,classical,3,0.9696969696969697,0.9375,0.967741935483871,0.9963235294117647,297,full_dataset
SVM,classical,4,0.9696969696969697,0.9375,0.967741935483871,1.0,297,full_dataset
SVM,classical,5,0.9696969696969697,0.9375,0.967741935483871,1.0,297,full_dataset
SVM,classical,6,0.9393939393939394,0.8823529411764706,0.9375,0.9705882352941176,297,full_dataset
SVM,classical,7,0.9090909090909091,0.8235294117647058,0.9032258064516129,1.0,297,full_dataset
SVM,classical,8,1.0,1.0,1.0,1.0,297,full_dataset
SVM,classical,9,0.9393939393939394,0.9411764705882353,0.9411764705882353,0.9926470588235294,297,full_dataset
SVM,classical,10,0.9090909090909091,0.8823529411764706,0.9090909090909091,0.9852941176470589,297,full_dataset
RandomForest,classical,1,0.9393939393939394,0.9375,0.9375,0.9926470588235293,297,full_dataset
RandomForest,classical,2,0.9696969696969697,0.9375,0.967741935483871,0.9871323529411764,297,full_dataset
RandomForest,classical,3,0.9696969696969697,0.9375,0.967741935483871,0.9889705882352942,297,full_dataset
RandomForest,classical,4,0.9393939393939394,0.9375,0.9375,0.9963235294117647,297,full_dataset
RandomForest,classical,5,1.0,1.0,1.0,1.0,297,full_dataset
RandomForest,classical,6,0.9090909090909091,0.8823529411764706,0.9090909090909091,0.9852941176470589,297,full_dataset
RandomForest,classical,7,0.9393939393939394,0.8823529411764706,0.9375,0.9852941176470589,297,full_dataset
RandomForest,classical,8,1.0,1.0,1.0,1.0,297,full_dataset
RandomForest,classical,9,0.9696969696969697,1.0,0.9714285714285714,1.0,297,full_dataset
RandomForest,classical,10,0.9696969696969697,0.9411764705882353,0.9696969696969697,1.0,297,full_dataset
XGBoost,classical,1,0.9393939393939394,0.875,0.9333333333333333,1.0,297,full_dataset
XGBoost,classical,2,0.9393939393939394,0.875,0.9333333333333333,1.0,297,full_dataset
XGBoost,classical,3,1.0,1.0,1.0,1.0,297,full_dataset
XGBoost,classical,4,0.9696969696969697,1.0,0.9696969696969697,1.0,297,full_dataset
XGBoost,classical,5,1.0,1.0,1.0,1.0,297,full_dataset
XGBoost,classical,6,1.0,1.0,1.0,1.0,297,full_dataset
XGBoost,classical,7,1.0,1.0,1.0,1.0,297,full_dataset
XGBoost,classical,8,1.0,1.0,1.0,1.0,297,full_dataset
XGBoost,classical,9,1.0,1.0,1.0,1.0,297,full_dataset
XGBoost,classical,10,1.0,1.0,1.0,1.0,297,full_dataset
KNN,classical,1,0.8484848484848485,0.8125,0.8387096774193549,0.9613970588235293,297,full_dataset
KNN,classical,2,0.8787878787878788,0.9375,0.8823529411764706,0.9705882352941176,297,full_dataset
KNN,classical,3,0.9393939393939394,0.875,0.9333333333333333,0.963235294117647,297,full_dataset
KNN,classical,4,0.9696969696969697,0.9375,0.967741935483871,0.9981617647058822,297,full_dataset
KNN,classical,5,0.9393939393939394,0.875,0.9333333333333333,1.0,297,full_dataset
KNN,classical,6,0.9090909090909091,0.8823529411764706,0.9090909090909091,0.9466911764705882,297,full_dataset
KNN,classical,7,0.9090909090909091,0.8235294117647058,0.9032258064516129,0.9816176470588236,297,full_dataset
KNN,classical,8,0.9696969696969697,0.9411764705882353,0.9696969696969697,0.9669117647058824,297,full_dataset
KNN,classical,9,0.9696969696969697,1.0,0.9714285714285714,0.9963235294117647,297,full_dataset
KNN,classical,10,0.9090909090909091,0.8823529411764706,0.9090909090909091,0.9650735294117647,297,full_dataset
QSVM,quantum,1,0.5151515151515151,1.0,0.6666666666666666,0.34191176470588236,32,stratified_subsample
QSVM,quantum,2,0.48484848484848486,1.0,0.6530612244897959,0.4448529411764707,32,stratified_subsample
QSVM,quantum,3,0.48484848484848486,1.0,0.6530612244897959,0.39705882352941174,32,stratified_subsample
QSVM,quantum,4,0.48484848484848486,1.0,0.6530612244897959,0.41911764705882354,32,stratified_subsample
QSVM,quantum,5,0.6363636363636364,0.75,0.6666666666666666,0.2977941176470588,32,stratified_subsample
QSVM,quantum,6,0.5151515151515151,1.0,0.68,0.34191176470588236,32,stratified_subsample
QSVM,quantum,7,0.6666666666666666,0.5882352941176471,0.6451612903225806,0.34558823529411764,32,stratified_subsample
QSVM,quantum,8,0.5151515151515151,1.0,0.68,0.3198529411764706,32,stratified_subsample
QSVM,quantum,9,0.48484848484848486,0.9411764705882353,0.6530612244897959,0.39705882352941174,32,stratified_subsample
QSVM,quantum,10,0.5757575757575758,0.7058823529411765,0.631578947368421,0.29411764705882354,32,stratified_subsample
VQC,quantum,1,0.6363636363636364,0.4375,0.5384615384615384,0.7408088235294118,32,stratified_subsample
VQC,quantum,2,0.6666666666666666,0.5625,0.6206896551724138,0.6856617647058824,32,stratified_subsample
VQC,quantum,3,0.48484848484848486,0.3125,0.37037037037037035,0.5036764705882353,32,stratified_subsample
VQC,quantum,4,0.5454545454545454,0.375,0.4444444444444444,0.5018382352941176,32,stratified_subsample
VQC,quantum,5,0.48484848484848486,0.5625,0.5142857142857142,0.5569852941176471,32,stratified_subsample
VQC,quantum,6,0.48484848484848486,0.47058823529411764,0.48484848484848486,0.5422794117647058,32,stratified_subsample
VQC,quantum,7,0.5151515151515151,0.4117647058823529,0.4666666666666667,0.6084558823529411,32,stratified_subsample
VQC,quantum,8,0.5454545454545454,0.5882352941176471,0.5714285714285714,0.5661764705882353,32,stratified_subsample
VQC,quantum,9,0.6060606060606061,0.5882352941176471,0.6060606060606061,0.5110294117647058,32,stratified_subsample
VQC,quantum,10,0.5151515151515151,0.5294117647058824,0.5294117647058824,0.6121323529411764,32,stratified_subsample
