position,feature_name
0,gender
1,PPE
2,DFA
3,RPDE
4,numPulses
5,numPeriodsPulses
6,meanPeriodPulses
7,stdDevPeriodPulses
8,locPctJitter
9,locAbsJitter
10,rapJitter
11,ppq5Jitter
12,ddpJitter
13,locShimmer
14,locDbShimmer
15,apq3Shimmer
16,apq5Shimmer
17,apq11Shimmer
18,ddaShimmer
19,meanAutoCorrHarmonicity
20,meanNoiseToHarmHarmonicity
21,meanHarmToNoiseHarmonicity
22,minIntensity
23,maxIntensity
24,meanIntensity
25,f1
26,f2
27,f3
28,f4
29,b1
30,b2
31,b3
32,b4
33,GQ_prc5_95
34,GQ_std_cycle_open
35,GQ_std_cycle_closed
36,GNE_mean
37,GNE_std
38,GNE_SNR_TKEO
39,GNE_SNR_SEO
40,GNE_NSR_TKEO
41,GNE_NSR_SEO
42,VFER_mean
43,VFER_std
44,VFER_entropy
45,VFER_SNR_TKEO
46,VFER_SNR_SEO
47,VFER_NSR_TKEO
48,VFER_NSR_SEO
49,IMF_SNR_SEO
50,IMF_SNR_TKEO
51,IMF_SNR_entropy
52,IMF_NSR_SEO
53,IMF_NSR_TKEO
54,IMF_NSR_entropy
55,mean_Log_energy
56,mean_MFCC_0th_coef
57,mean_MFCC_1st_coef
58,mean_MFCC_2nd_coef
59,mean_MFCC_3rd_coef
60,mean_MFCC_4th_coef
61,mean_MFCC_5th_coef
62,mean_MFCC_6th_coef
63,mean_MFCC_7th_coef
64,mean_MFCC_8th_coef
65,mean_MFCC_9th_coef
66,mean_MFCC_10th_coef
67,mean_MFCC_11th_coef
68,mean_MFCC_12th_coef
69,mean_delta_log_energy
70,mean_0th_delta
71,mean_1st_delta
72,mean_2nd_delta
73,mean_3rd_delta
74,mean_4th_delta
75,mean_5th_delta
76,mean_6th_delta
77,mean_7th_delta
78,mean_8th_delta
79,mean_9th_delta
80,mean_10th_delta
81,mean_11th_delta
82,mean_12th_delta
83,mean_delta_delta_log_energy
84,mean_delta_delta_0th
85,mean_1st_delta_delta
86,mean_2nd_delta_delta
87,mean_3rd_delta_delta
88,mean_4th_delta_delta
89,mean_5th_delta_delta
90,mean_6th_delta_delta
91,mean_7th_delta_delta
92,mean_8th_delta_delta
93,mean_9th_delta_delta
94,mean_10th_delta_delta
95,mean_11th_delta_delta
96,mean_12th_delta_delta
97,std_Log_energy
98,std_MFCC_0th_coef
