model_name,model_family,actual_label,predicted_label,count
LogisticRegression,classical,0,0,125
LogisticRegression,classical,0,1,67
LogisticRegression,classical,1,0,61
LogisticRegression,classical,1,1,503
SVM,classical,0,0,90
SVM,classical,0,1,102
SVM,classical,1,0,8
SVM,classical,1,1,556
RandomForest,classical,0,0,118
RandomForest,classical,0,1,74
RandomForest,classical,1,0,10
RandomForest,classical,1,1,554
XGBoost,classical,0,0,138
XGBoost,classical,0,1,54
XGBoost,classical,1,0,10
XGBoost,classical,1,1,554
KNN,classical,0,0,107
KNN,classical,0,1,85
KNN,classical,1,0,14
KNN,classical,1,1,550
QSVM,quantum,0,0,0
QSVM,quantum,0,1,192
QSVM,quantum,1,0,0
QSVM,quantum,1,1,564
VQC,quantum,0,0,98
VQC,quantum,0,1,94
VQC,quantum,1,0,281
VQC,quantum,1,1,283
